==================================================================
Authors' Name           :P. Vilím, P. Laborie and P. Shaw
Authors' Email          :petr_vilim@cz.ibm.com
Authors' Initials       :VLS
Shelfmark               :15
Instance Set            :j30
Type                    :mm
Date                    :1/3/15
==================================================================
Research Report: Failure-directed Search for Constraint-based 
                 Scheduling. In Proc. 12th International Conference 
                 on Integration of AI and OR Techniques in 
                 Constraint Programming for Combinatorial 
                 Optimization Problems (CPAIOR 2015).
==================================================================
   Parameter  Instance  Lower Bound
  24          2          31
  24          3          21
  24          4          29
  24          5          37
  24          6          30
  24          7          29
  24          8          38
  24          9          31
  25          1          34
  25          10         27
  25          2          32
  25          3          24
  25          4          30
  25          5          27
  25          6          32
  25          7          33
  25          8          33
  25          9          51
  26          1          21
  26          10         22
  26          2          22
  26          3          42
  26          4          34
  26          5          22
  26          6          29
  26          7          29
  26          8          40
  26          9          21
  27          1          38
  27          10         29
  27          2          29
  27          3          28
  27          4          28
  27          5          40
  27          6          25
  27          7          30
  27          8          42
  27          9          37
  28          1          37
  28          10         26
  28          2          25
  28          3          31
  28          4          33
  28          5          23
  28          6          29
  28          7          37
  28          8          36
  28          9          28
  29          1          46
  29          10         36
  29          2          34
  29          3          32
  29          4          33
  29          5          34
  29          6          42
  29          7          38
  29          8          50
  29          9          37
  30          1          36
  30          10         19
  30          2          30
  30          3          29
  30          4          35
  30          5          30
  30          6          41
  30          7          27
  30          8          28
  30          9          36
  31          1          25
  31          10         20
  31          2          43
  31          3          31
  31          4          29
  31          5          43
  31          6          32
  31          7          45
  31          8          26
  31          9          33
  32          1          31
  32          10         29
  32          2          32
  32          3          28
  32          4          27
  32          5          29
  32          6          29
  32          7          36
  32          8          29
  32          9          22
  33          1          47
  33          10         39
  33          2          45
  33          3          45
  33          4          57
  33          5          48
  33          6          41
  33          7          45
  33          8          39
  33          9          44
  34          1          39
  34          10         54
  34          2          32
  34          3          38
  34          4          42
  34          5          43
  34          6          41
  34          7          44
  34          8          47
  34          9          38
  35          1          34
  35          10         51
  35          2          35
  35          3          39
  35          4          47
  35          5          42
  35          6          41
  35          7          35
  35          8          40
  35          9          36
  37          1          51
  37          10         42
  37          2          54
  37          3          56
  37          4          54
  37          5          50
  37          6          62
  37          7          57
  37          8          44
  37          9          52
  38          1          46
  38          10         37
  38          2          44
  38          3          34
  38          4          50
  38          5          50
  38          6          36
  38          7          38
  38          8          40
  38          9          45
  39          1          43
  39          10         44
  39          2          42
  39          3          49
  39          4          49
  39          5          32
  39          6          36
  39          7          38
  39          8          42
  39          9          42
  40          1          38
  40          10         44
  40          2          41
  40          3          36
  40          4          40
  40          5          48
  40          6          41
  40          7          48
  40          8          41
  40          9          43
  41          1          35
  41          10         38
  41          2          34
  41          3          40
  41          4          33
  41          5          37
  41          6          32
  41          7          39
  41          8          30
  41          9          42
  42          1          35
  42          10         36
  42          2          26
  42          3          37
  42          4          28
  42          5          35
  42          6          30
  42          7          29
  42          8          28
  42          9          31
  43          1          29
  43          10         30
  43          2          32
  43          3          26
  43          4          27
  43          5          44
  43          6          28
  43          7          33
  43          8          34
  43          9          38
  44          1          41
  44          10         31
  44          2          27
  44          3          34
  44          4          33
  44          5          29
  44          6          25
  44          7          35
  44          8          36
  44          9          35
  45          1          39
  45          10         37
  45          2          48
  45          3          40
  45          4          47
  45          5          41
  45          6          43
  45          7          46
  45          8          43
  45          9          42
  46          1          33
  46          10         37
  46          2          40
  46          3          30
  46          4          37
  46          5          33
  46          6          33
  46          7          43
  46          8          33
  46          9          40
  47          1          39
  47          10         42
  47          2          29
  47          3          29
  47          4          38
  47          5          26
  47          6          34
  47          7          28
  47          8          38
  47          9          34
  48          1          28
  48          10         28
  48          2          30
  48          3          35
  48          4          24
  48          5          25
  48          6          31
  48          7          32
  48          8          28
  48          9          37
  49          1          33
  49          10         30
  49          2          49
  49          3          35
  49          4          37
  49          5          37
  49          6          31
  49          7          36
  49          8          34
  49          9          33
  50          1          28
  50          10         30
  50          2          37
  50          3          43
  50          4          34
  50          5          37
  50          6          37
  50          7          22
  50          8          27
  50          9          25
  51          1          32
  51          10         27
  51          2          23
  51          3          27
  51          4          51
  51          5          33
  51          6          38
  51          7          26
  51          8          33
  51          9          35
  52          1          32
  52          10         29
  52          2          23
  52          3          22
  52          4          29
  52          5          30
  52          6          30
  52          7          30
  52          8          26
  52          9          31
  53          1          42
  53          10         37
  53          2          38
  53          3          34
  53          4          44
  53          5          47
  53          6          43
  53          7          35
  53          8          36
  53          9          41
  54          1          33
  54          10         29
  54          2          28
  54          3          22
  54          4          30
  54          5          28
  54          6          30
  54          7          39
  54          8          31
  54          9          28
  55          1          29
  55          10         29
  55          2          31
  55          3          28
  55          4          41
  55          5          24
  55          6          25
  55          7          44
  55          8          44
  55          9          27
  56          1          21
  56          10         39
  56          2          31
  56          3          34
  56          4          32
  56          5          29
  56          6          26
  56          7          30
  56          8          29
  56          9          33
  57          1          30
  57          10         32
  57          2          32
  57          3          29
  57          4          29
  57          5          27
  57          6          23
  57          7          27
  57          8          29
  57          9          26
  58          1          30
  58          10         27
  58          2          32
  58          3          31
  58          4          27
  58          5          28
  58          6          24
  58          7          26
  58          8          28
  58          9          30
  59          1          24
  59          10         29
  59          2          23
  59          3          34
  59          4          25
  59          5          28
  59          6          27
  59          7          34
  59          8          26
  59          9          34
  60          1          22
  60          10         23
  60          2          38
  60          3          39
  60          4          23
  60          5          34
  60          6          36
  60          7          25
  60          8          29
  60          9          31
  61          1          37
  61          10         41
  61          2          36
  61          3          39
  61          4          38
  61          5          39
  61          6          35
  61          7          44
  61          8          46
  61          9          44
  62          1          26
  62          10         26
  62          2          33
  62          3          26
  62          4          33
  62          5          42
  62          6          36
  62          7          27
  62          8          38
  62          9          26
  63          1          29
  63          10         27
  63          2          30
  63          3          24
  63          4          31
  63          5          37
  63          6          39
  63          7          26
  63          8          31
  63          9          25
  64          1          25
  64          10         36
  64          2          23
  64          3          34
  64          4          25
  64          5          36
  64          6          29
  64          7          34
  64          8          23
  64          9          31
   .
==================================================================
   
